date,value
09/02/2021,14.14
10/02/2021,14.63
11/02/2021,15.07
12/02/2021,15.07
13/02/2021,15.87
14/02/2021,16.15
16/02/2021,16.78
17/02/2021,17.41
18/02/2021,17.99
19/12/2020,0
20/12/2020,0.09
21/12/2020,0.37
22/12/2020,0.89
23/12/2020,1.62
24/12/2020,2.46
25/12/2020,2.91
26/12/2020,3.29
27/12/2020,4.51
28/12/2020,6.07
29/12/2020,7.89
30/12/2020,9.67
31/12/2020,11.52
01/01/2021,12.35
02/01/2021,13.18
03/01/2021,14.93
04/01/2021,16.69
05/01/2021,18.16
06/01/2021,19.37
07/01/2021,20.72
08/01/2021,21.5
09/01/2021,22.02
10/01/2021,22.53
11/01/2021,23
12/01/2021,23.69
13/01/2021,24.95
14/01/2021,26.4
15/01/2021,27.17
16/01/2021,27.82
17/01/2021,29.58
18/01/2021,31.77
19/01/2021,34.2
20/01/2021,36.73
21/01/2021,39.43
22/01/2021,40.68
23/01/2021,41.75
24/01/2021,44.17
25/01/2021,46.7
26/01/2021,49.06
27/01/2021,51.39
28/01/2021,53.81
29/01/2021,54.98
30/01/2021,55.86
31/01/2021,57.39
01/02/2021,58.74
02/02/2021,59.9
03/02/2021,61.18
04/02/2021,62.68
05/02/2021,63.4
06/02/2021,63.9
07/02/2021,65.31
08/02/2021,66.73
09/02/2021,68.27
10/02/2021,69.91
11/02/2021,71.66
12/02/2021,72.53
13/02/2021,73.2
14/02/2021,74.85
15/02/2021,76.66
16/02/2021,78.5
17/02/2021,80.07
18/02/2021,81.78
27/12/2020,0.01
28/12/2020,0.01
29/12/2020,0.01
30/12/2020,0.02
31/12/2020,0.06
01/01/2021,0.08
02/01/2021,0.15
03/01/2021,0.2
04/01/2021,0.32
05/01/2021,0.45
06/01/2021,0.56
07/01/2021,0.71
08/01/2021,0.87
09/01/2021,1.01
10/01/2021,1.11
11/01/2021,1.24
12/01/2021,1.38
13/01/2021,1.53
14/01/2021,1.68
15/01/2021,1.83
16/01/2021,1.93
17/01/2021,1.99
18/01/2021,2.06
19/01/2021,2.12
20/01/2021,2.17
21/01/2021,2.22
22/01/2021,2.27
23/01/2021,2.33
24/01/2021,2.38
25/01/2021,2.5
26/01/2021,2.63
27/01/2021,2.74
28/01/2021,2.9
29/01/2021,3.06
30/01/2021,3.21
31/01/2021,3.3
01/02/2021,3.44
02/02/2021,3.59
03/02/2021,3.75
04/02/2021,3.92
05/02/2021,4.09
06/02/2021,4.22
07/02/2021,4.28
08/02/2021,4.39
09/02/2021,4.5
10/02/2021,4.62
11/02/2021,4.73
12/02/2021,4.85
13/02/2021,4.94
14/02/2021,4.98
15/02/2021,5.08
16/02/2021,5.2
17/02/2021,5.32
18/02/2021,5.46
17/02/2021,0
18/02/2021,0
24/01/2021,11.26
31/01/2021,14.68
07/02/2021,20.78
14/02/2021,25.68
28/12/2020,0.06
26/01/2021,0.82
15/02/2021,3.21
18/01/2021,0.89
19/01/2021,0.94
20/01/2021,0.98
21/01/2021,0.99
22/01/2021,1
25/01/2021,1.05
26/01/2021,1.09
27/01/2021,1.13
28/01/2021,1.18
29/01/2021,1.23
30/01/2021,1.24
01/02/2021,1.32
02/02/2021,1.42
03/02/2021,1.51
04/02/2021,1.58
05/02/2021,1.67
06/02/2021,1.7
07/02/2021,1.71
08/02/2021,1.73
09/02/2021,1.74
10/02/2021,1.77
11/02/2021,1.87
12/02/2021,1.96
13/02/2021,1.98
14/02/2021,1.98
15/02/2021,2.02
16/02/2021,2.09
17/02/2021,2.18
18/02/2021,2.23
03/02/2021,2.18
10/02/2021,2.67
14/02/2021,3.05
27/12/2020,0.09
28/12/2020,0.19
29/12/2020,0.3
30/12/2020,0.36
